RetainedRef	DuplicateRef
ENSMUST00000103799.1	ENSMUST00000179516.1
ENSMUST00000103799.1	ENSMUST00000103849.1
ENSMUST00000103799.1	ENSMUST00000180047.1
ENSMUST00000103799.1	ENSMUST00000103827.1
ENSMUST00000103799.1	ENSMUST00000177728.1
ENSMUST00000103799.1	ENSMUST00000178240.1
ENSMUST00000103799.1	ENSMUST00000179692.1
ENSMUST00000103799.1	ENSMUST00000103763.1
ENSMUST00000103799.1	ENSMUST00000103937.1
ENSMUST00000103799.1	ENSMUST00000178476.1
ENSMUST00000103799.1	ENSMUST00000103831.1
ENSMUST00000103799.1	ENSMUST00000178681.1
ENSMUST00000103799.1	ENSMUST00000103753.1
ENSMUST00000189561.1	ENSMUST00000185199.1
ENSMUST00000192558.1	ENSMUST00000193478.1
ENSMUST00000192558.1	ENSMUST00000185870.1
ENSMUST00000046131.15	ENSMUST00000173322.7
ENSMUST00000102081.1	ENSMUST00000102079.1
ENSMUST00000189304.6	ENSMUST00000186776.6
ENSMUST00000189304.6	ENSMUST00000187568.6
ENSMUST00000198203.1	ENSMUST00000199618.1
ENSMUST00000178864.2	ENSMUST00000178168.2
ENSMUST00000179304.1	ENSMUST00000179628.1
ENSMUST00000179304.1	ENSMUST00000179449.1
ENSMUST00000186593.1	ENSMUST00000189177.1
ENSMUST00000186593.1	ENSMUST00000186177.1
ENSMUST00000186593.1	ENSMUST00000186078.1
ENSMUST00000159674.3	ENSMUST00000233848.1
ENSMUST00000180238.1	ENSMUST00000179798.1
ENSMUST00000170516.8	ENSMUST00000025903.5
ENSMUST00000189869.1	ENSMUST00000186250.1
ENSMUST00000157895.2	ENSMUST00000178922.1
ENSMUST00000157895.2	ENSMUST00000178506.1
ENSMUST00000177842.1	ENSMUST00000179884.1
ENSMUST00000177842.1	ENSMUST00000178639.1
ENSMUST00000177842.1	ENSMUST00000179672.1
ENSMUST00000177842.1	ENSMUST00000179480.1
ENSMUST00000177842.1	ENSMUST00000178751.1
ENSMUST00000177842.1	ENSMUST00000178446.1
ENSMUST00000180064.1	ENSMUST00000119933.2
ENSMUST00000178342.7	ENSMUST00000177994.7
ENSMUST00000189206.1	ENSMUST00000191168.6
ENSMUST00000189206.1	ENSMUST00000189110.1
ENSMUST00000221509.1	ENSMUST00000222561.1
ENSMUST00000112728.8	ENSMUST00000112802.8
ENSMUST00000188508.1	ENSMUST00000186305.1
ENSMUST00000214261.1	ENSMUST00000216268.1
ENSMUST00000178689.1	ENSMUST00000179302.1
ENSMUST00000187805.1	ENSMUST00000189519.1
ENSMUST00000188590.1	ENSMUST00000188424.1
ENSMUST00000181038.2	ENSMUST00000196639.1
ENSMUST00000188063.1	ENSMUST00000191261.1
ENSMUST00000185575.1	ENSMUST00000187433.6
ENSMUST00000120920.1	ENSMUST00000159764.1
ENSMUST00000170889.1	ENSMUST00000165756.1
ENSMUST00000179429.5	ENSMUST00000186215.6
ENSMUST00000194941.1	ENSMUST00000179799.1
ENSMUST00000082550.1	ENSMUST00000083856.1
ENSMUST00000187293.6	ENSMUST00000190292.1
ENSMUST00000187276.1	ENSMUST00000187981.1
ENSMUST00000239498.1	ENSMUST00000028304.3
ENSMUST00000190347.6	ENSMUST00000188079.1
ENSMUST00000117199.1	ENSMUST00000182502.1
ENSMUST00000180175.1	ENSMUST00000177925.1
ENSMUST00000180175.1	ENSMUST00000177888.1
ENSMUST00000180175.1	ENSMUST00000180134.1
ENSMUST00000180175.1	ENSMUST00000178692.1
ENSMUST00000180175.1	ENSMUST00000177552.1
ENSMUST00000180175.1	ENSMUST00000178249.1
ENSMUST00000180175.1	ENSMUST00000177791.1
ENSMUST00000180175.1	ENSMUST00000178941.1
ENSMUST00000178780.1	ENSMUST00000117032.2
ENSMUST00000178780.1	ENSMUST00000178653.1
ENSMUST00000178780.1	ENSMUST00000178897.1
ENSMUST00000178780.1	ENSMUST00000116940.1
ENSMUST00000178780.1	ENSMUST00000117026.1
ENSMUST00000178780.1	ENSMUST00000116833.1
ENSMUST00000178780.1	ENSMUST00000116701.1
ENSMUST00000178780.1	ENSMUST00000179294.1
ENSMUST00000178780.1	ENSMUST00000180209.1
ENSMUST00000178780.1	ENSMUST00000178126.1
ENSMUST00000178780.1	ENSMUST00000116700.1
ENSMUST00000178780.1	ENSMUST00000116959.1
ENSMUST00000178780.1	ENSMUST00000116717.1
ENSMUST00000178780.1	ENSMUST00000116713.1
ENSMUST00000178780.1	ENSMUST00000116784.1
ENSMUST00000178780.1	ENSMUST00000116704.1
ENSMUST00000178780.1	ENSMUST00000116956.1
ENSMUST00000178780.1	ENSMUST00000116801.1
ENSMUST00000178780.1	ENSMUST00000178964.1
ENSMUST00000178780.1	ENSMUST00000180121.1
ENSMUST00000178780.1	ENSMUST00000116896.1
ENSMUST00000178780.1	ENSMUST00000116918.1
ENSMUST00000178780.1	ENSMUST00000116938.1
ENSMUST00000178780.1	ENSMUST00000116705.1
ENSMUST00000178780.1	ENSMUST00000117009.1
ENSMUST00000178780.1	ENSMUST00000116730.1
ENSMUST00000190126.6	ENSMUST00000189379.6
ENSMUST00000186996.6	ENSMUST00000188958.1
ENSMUST00000186996.6	ENSMUST00000189543.6
ENSMUST00000189070.6	ENSMUST00000185877.6
ENSMUST00000189070.6	ENSMUST00000189411.6
ENSMUST00000189070.6	ENSMUST00000190860.6
ENSMUST00000189070.6	ENSMUST00000189271.6
ENSMUST00000189070.6	ENSMUST00000186094.6
ENSMUST00000239447.1	ENSMUST00000113377.7
ENSMUST00000178043.1	ENSMUST00000178906.1
ENSMUST00000239439.1	ENSMUST00000037275.5
ENSMUST00000220883.1	ENSMUST00000221852.1
ENSMUST00000105357.1	ENSMUST00000105355.7
ENSMUST00000197954.1	ENSMUST00000196941.1
ENSMUST00000157353.1	ENSMUST00000158102.1
ENSMUST00000179938.1	ENSMUST00000178887.1
ENSMUST00000188391.1	ENSMUST00000185201.1
ENSMUST00000187212.1	ENSMUST00000187722.1
ENSMUST00000187212.1	ENSMUST00000191075.1
ENSMUST00000180692.2	ENSMUST00000181166.2
ENSMUST00000103900.2	ENSMUST00000103804.2
ENSMUST00000188877.1	ENSMUST00000187063.1
ENSMUST00000188877.1	ENSMUST00000188724.1
ENSMUST00000188877.1	ENSMUST00000185545.1
ENSMUST00000163970.8	ENSMUST00000100692.3
ENSMUST00000188181.6	ENSMUST00000112825.8
ENSMUST00000191597.1	ENSMUST00000188992.1
ENSMUST00000051238.6	ENSMUST00000219798.1
ENSMUST00000190031.1	ENSMUST00000195375.1
ENSMUST00000188477.1	ENSMUST00000190418.1
ENSMUST00000129110.1	ENSMUST00000118930.1
ENSMUST00000179232.1	ENSMUST00000178589.1
ENSMUST00000179232.1	ENSMUST00000179940.1
ENSMUST00000179232.1	ENSMUST00000119623.1
ENSMUST00000148147.1	ENSMUST00000126395.1
ENSMUST00000180211.1	ENSMUST00000178951.1
ENSMUST00000189700.1	ENSMUST00000189603.1
ENSMUST00000188597.1	ENSMUST00000190467.1
ENSMUST00000188597.1	ENSMUST00000187463.1
ENSMUST00000190469.1	ENSMUST00000187221.1
ENSMUST00000190469.1	ENSMUST00000186338.1
ENSMUST00000190469.1	ENSMUST00000189548.1
ENSMUST00000107326.1	ENSMUST00000107318.1
ENSMUST00000178541.1	ENSMUST00000178123.1
ENSMUST00000185977.1	ENSMUST00000189094.1
ENSMUST00000185563.1	ENSMUST00000191470.1
ENSMUST00000120922.1	ENSMUST00000118324.1
ENSMUST00000184234.1	ENSMUST00000184506.1
ENSMUST00000180150.7	ENSMUST00000178145.7
ENSMUST00000189667.6	ENSMUST00000186224.6
ENSMUST00000086236.1	ENSMUST00000179668.1
ENSMUST00000187780.1	ENSMUST00000190914.1
ENSMUST00000178275.1	ENSMUST00000179111.1
ENSMUST00000178275.1	ENSMUST00000179775.1
ENSMUST00000178275.1	ENSMUST00000083150.1
ENSMUST00000178275.1	ENSMUST00000083413.1
ENSMUST00000178275.1	ENSMUST00000083992.1
ENSMUST00000178275.1	ENSMUST00000083311.1
ENSMUST00000178275.1	ENSMUST00000083855.1
ENSMUST00000178275.1	ENSMUST00000083854.1
ENSMUST00000178275.1	ENSMUST00000083741.1
ENSMUST00000178275.1	ENSMUST00000083336.1
ENSMUST00000178275.1	ENSMUST00000083204.1
ENSMUST00000178275.1	ENSMUST00000179782.1
ENSMUST00000178275.1	ENSMUST00000179791.1
ENSMUST00000178275.1	ENSMUST00000178290.1
ENSMUST00000178275.1	ENSMUST00000180294.1
ENSMUST00000178275.1	ENSMUST00000179274.1
ENSMUST00000178275.1	ENSMUST00000083293.1
ENSMUST00000178275.1	ENSMUST00000082973.1
ENSMUST00000178275.1	ENSMUST00000177941.1
ENSMUST00000178275.1	ENSMUST00000093648.1
ENSMUST00000178275.1	ENSMUST00000082953.1
ENSMUST00000178275.1	ENSMUST00000083885.1
ENSMUST00000178275.1	ENSMUST00000179535.1
ENSMUST00000178275.1	ENSMUST00000177746.1
ENSMUST00000178275.1	ENSMUST00000178420.1
ENSMUST00000178275.1	ENSMUST00000178844.1
ENSMUST00000178275.1	ENSMUST00000083693.1
ENSMUST00000178275.1	ENSMUST00000097247.1
ENSMUST00000178275.1	ENSMUST00000082478.1
ENSMUST00000178275.1	ENSMUST00000179101.1
ENSMUST00000178275.1	ENSMUST00000179754.1
ENSMUST00000178275.1	ENSMUST00000177627.1
ENSMUST00000178275.1	ENSMUST00000178482.1
ENSMUST00000178275.1	ENSMUST00000178183.1
ENSMUST00000178275.1	ENSMUST00000178877.1
ENSMUST00000178275.1	ENSMUST00000179690.1
ENSMUST00000178275.1	ENSMUST00000178023.1
ENSMUST00000178275.1	ENSMUST00000179017.1
ENSMUST00000178275.1	ENSMUST00000180237.1
ENSMUST00000178275.1	ENSMUST00000179904.1
ENSMUST00000178275.1	ENSMUST00000083727.1
ENSMUST00000178275.1	ENSMUST00000083894.1
ENSMUST00000190622.1	ENSMUST00000187205.1
ENSMUST00000192683.1	ENSMUST00000194086.1
ENSMUST00000150758.7	ENSMUST00000191078.6
ENSMUST00000166629.1	ENSMUST00000166764.1
ENSMUST00000223433.1	ENSMUST00000220809.1
ENSMUST00000191319.1	ENSMUST00000187297.1
ENSMUST00000179492.1	ENSMUST00000178185.1
ENSMUST00000188622.1	ENSMUST00000188875.1
ENSMUST00000188622.1	ENSMUST00000188816.1
ENSMUST00000188622.1	ENSMUST00000187088.1
ENSMUST00000179288.1	ENSMUST00000178217.1
ENSMUST00000179288.1	ENSMUST00000178055.1
ENSMUST00000179493.1	ENSMUST00000168053.2
ENSMUST00000180170.1	ENSMUST00000180332.1
ENSMUST00000180170.1	ENSMUST00000180249.1
ENSMUST00000180170.1	ENSMUST00000178063.1
ENSMUST00000180170.1	ENSMUST00000177775.1
ENSMUST00000180170.1	ENSMUST00000179970.1
ENSMUST00000239262.1	ENSMUST00000109488.7
ENSMUST00000186019.1	ENSMUST00000187033.2
ENSMUST00000161976.7	ENSMUST00000022971.7
ENSMUST00000188149.1	ENSMUST00000186589.1
ENSMUST00000185781.1	ENSMUST00000190200.1
ENSMUST00000178432.1	ENSMUST00000099001.3
ENSMUST00000180118.1	ENSMUST00000101885.1
ENSMUST00000178208.1	ENSMUST00000180000.1
ENSMUST00000178208.1	ENSMUST00000179377.1
ENSMUST00000178801.1	ENSMUST00000180061.1
ENSMUST00000178801.1	ENSMUST00000103791.3
ENSMUST00000116949.1	ENSMUST00000116990.1
ENSMUST00000190848.1	ENSMUST00000189183.1
ENSMUST00000190848.1	ENSMUST00000191210.1
ENSMUST00000189760.1	ENSMUST00000188117.1
ENSMUST00000175235.1	ENSMUST00000179085.1
ENSMUST00000192089.1	ENSMUST00000178811.1
ENSMUST00000190660.6	ENSMUST00000187203.6
ENSMUST00000209620.3	ENSMUST00000074730.3
ENSMUST00000186805.1	ENSMUST00000188300.1
ENSMUST00000195499.5	ENSMUST00000186849.1
ENSMUST00000032571.9	ENSMUST00000220302.1
ENSMUST00000173508.1	ENSMUST00000173675.1
ENSMUST00000128668.7	ENSMUST00000045428.6
ENSMUST00000184238.1	ENSMUST00000183568.1
ENSMUST00000098744.1	ENSMUST00000098720.1
ENSMUST00000178376.1	ENSMUST00000177712.1
ENSMUST00000191214.1	ENSMUST00000187070.1
ENSMUST00000191214.1	ENSMUST00000185634.1
ENSMUST00000220881.1	ENSMUST00000222807.1
ENSMUST00000178698.1	ENSMUST00000179369.1
ENSMUST00000201400.3	ENSMUST00000086950.5
ENSMUST00000177759.1	ENSMUST00000180051.1
ENSMUST00000177759.1	ENSMUST00000177886.1
ENSMUST00000177759.1	ENSMUST00000179208.1
ENSMUST00000186204.1	ENSMUST00000188104.1
ENSMUST00000186204.1	ENSMUST00000187373.1
ENSMUST00000186204.1	ENSMUST00000190413.1
ENSMUST00000191224.1	ENSMUST00000187240.1
ENSMUST00000191224.1	ENSMUST00000186188.1
ENSMUST00000191224.1	ENSMUST00000189513.1
ENSMUST00000191224.1	ENSMUST00000188043.1
ENSMUST00000191224.1	ENSMUST00000188264.1
ENSMUST00000191224.1	ENSMUST00000190310.1
ENSMUST00000237992.1	ENSMUST00000235617.1
ENSMUST00000221061.1	ENSMUST00000221726.1
ENSMUST00000102575.8	ENSMUST00000190940.1
ENSMUST00000186212.1	ENSMUST00000186928.1
ENSMUST00000191052.1	ENSMUST00000192803.1
ENSMUST00000191052.1	ENSMUST00000193129.1
ENSMUST00000191052.1	ENSMUST00000192238.1
ENSMUST00000191052.1	ENSMUST00000188202.1
ENSMUST00000191052.1	ENSMUST00000187403.1
ENSMUST00000191052.1	ENSMUST00000190953.1
ENSMUST00000191052.1	ENSMUST00000188785.1
ENSMUST00000191052.1	ENSMUST00000186709.1
ENSMUST00000191052.1	ENSMUST00000188473.1
ENSMUST00000191052.1	ENSMUST00000188764.1
ENSMUST00000191052.1	ENSMUST00000187110.1
ENSMUST00000191052.1	ENSMUST00000190314.1
ENSMUST00000191052.1	ENSMUST00000186850.1
ENSMUST00000191052.1	ENSMUST00000189444.1
ENSMUST00000191052.1	ENSMUST00000185311.1
ENSMUST00000191052.1	ENSMUST00000188721.1
ENSMUST00000191052.1	ENSMUST00000187381.1
ENSMUST00000191052.1	ENSMUST00000187044.1
ENSMUST00000191052.1	ENSMUST00000189751.1
ENSMUST00000191052.1	ENSMUST00000186630.1
ENSMUST00000191052.1	ENSMUST00000190343.1
ENSMUST00000191052.1	ENSMUST00000190569.1
ENSMUST00000191052.1	ENSMUST00000187236.1
ENSMUST00000191052.1	ENSMUST00000187045.1
ENSMUST00000191052.1	ENSMUST00000185537.1
ENSMUST00000191052.1	ENSMUST00000190577.1
ENSMUST00000191052.1	ENSMUST00000189117.1
ENSMUST00000191052.1	ENSMUST00000185976.1
ENSMUST00000191052.1	ENSMUST00000185500.1
ENSMUST00000191052.1	ENSMUST00000187350.1
ENSMUST00000191052.1	ENSMUST00000191406.1
ENSMUST00000191052.1	ENSMUST00000187800.1
ENSMUST00000191052.1	ENSMUST00000186199.1
ENSMUST00000191052.1	ENSMUST00000188638.1
ENSMUST00000191052.1	ENSMUST00000189532.1
ENSMUST00000191052.1	ENSMUST00000187964.1
ENSMUST00000191052.1	ENSMUST00000186581.1
ENSMUST00000191052.1	ENSMUST00000191217.1
ENSMUST00000191052.1	ENSMUST00000191077.1
ENSMUST00000191052.1	ENSMUST00000190880.1
ENSMUST00000191052.1	ENSMUST00000189224.1
ENSMUST00000191052.1	ENSMUST00000186550.1
ENSMUST00000191052.1	ENSMUST00000190688.1
ENSMUST00000191052.1	ENSMUST00000187408.1
ENSMUST00000191052.1	ENSMUST00000187441.1
ENSMUST00000191052.1	ENSMUST00000191165.1
ENSMUST00000191176.1	ENSMUST00000188316.1
ENSMUST00000187402.6	ENSMUST00000186902.6
ENSMUST00000190374.1	ENSMUST00000185843.1
ENSMUST00000186184.6	ENSMUST00000190952.6
ENSMUST00000186184.6	ENSMUST00000191323.6
ENSMUST00000175274.1	ENSMUST00000175374.1
ENSMUST00000175274.1	ENSMUST00000175001.1
ENSMUST00000175274.1	ENSMUST00000175281.1
ENSMUST00000175274.1	ENSMUST00000178407.1
ENSMUST00000175274.1	ENSMUST00000178981.1
ENSMUST00000175274.1	ENSMUST00000175466.1
ENSMUST00000175274.1	ENSMUST00000175618.1
ENSMUST00000175274.1	ENSMUST00000174944.1
ENSMUST00000175274.1	ENSMUST00000178119.1
ENSMUST00000175274.1	ENSMUST00000179444.1
ENSMUST00000175274.1	ENSMUST00000175297.1
ENSMUST00000175274.1	ENSMUST00000175556.1
ENSMUST00000175274.1	ENSMUST00000175306.1
ENSMUST00000175274.1	ENSMUST00000178350.1
ENSMUST00000175274.1	ENSMUST00000178305.1
ENSMUST00000175274.1	ENSMUST00000175533.1
ENSMUST00000175274.1	ENSMUST00000175588.1
ENSMUST00000183648.1	ENSMUST00000185174.1
ENSMUST00000186321.6	ENSMUST00000187266.6
ENSMUST00000186321.6	ENSMUST00000186104.1
ENSMUST00000186321.6	ENSMUST00000187804.1
ENSMUST00000186321.6	ENSMUST00000187384.1
ENSMUST00000188748.1	ENSMUST00000186808.1
ENSMUST00000188748.1	ENSMUST00000186468.1
ENSMUST00000188748.1	ENSMUST00000189681.1
ENSMUST00000188748.1	ENSMUST00000187085.1
ENSMUST00000188748.1	ENSMUST00000190003.1
ENSMUST00000188748.1	ENSMUST00000191448.1
ENSMUST00000188748.1	ENSMUST00000187621.1
ENSMUST00000233871.1	ENSMUST00000068258.2
ENSMUST00000190134.1	ENSMUST00000189717.1
ENSMUST00000187477.1	ENSMUST00000186004.1
ENSMUST00000174922.2	ENSMUST00000175612.2
ENSMUST00000105209.2	ENSMUST00000105187.2
ENSMUST00000190520.1	ENSMUST00000189889.1
ENSMUST00000183431.7	ENSMUST00000184675.7
ENSMUST00000138601.7	ENSMUST00000186659.6
ENSMUST00000193213.1	ENSMUST00000191931.1
ENSMUST00000193213.1	ENSMUST00000194427.1
ENSMUST00000193213.1	ENSMUST00000194789.1
ENSMUST00000177893.1	ENSMUST00000179623.1
ENSMUST00000102075.1	ENSMUST00000102078.1
ENSMUST00000171534.7	ENSMUST00000188091.6
ENSMUST00000188669.1	ENSMUST00000186490.1
ENSMUST00000186249.1	ENSMUST00000224202.1
ENSMUST00000187814.6	ENSMUST00000038369.10
ENSMUST00000171174.7	ENSMUST00000191516.6
ENSMUST00000186197.2	ENSMUST00000179735.1
ENSMUST00000186197.2	ENSMUST00000190264.1
ENSMUST00000178947.1	ENSMUST00000178062.1
ENSMUST00000178947.1	ENSMUST00000179963.1
ENSMUST00000190380.1	ENSMUST00000186716.6
ENSMUST00000190380.1	ENSMUST00000187577.1
ENSMUST00000190380.1	ENSMUST00000186829.6
ENSMUST00000180980.1	ENSMUST00000180965.1
ENSMUST00000178112.2	ENSMUST00000189755.1
ENSMUST00000178112.2	ENSMUST00000180177.2
ENSMUST00000166493.7	ENSMUST00000100888.9
ENSMUST00000070758.9	ENSMUST00000238908.1
ENSMUST00000158292.1	ENSMUST00000157467.1
ENSMUST00000185846.1	ENSMUST00000190978.1
ENSMUST00000178806.1	ENSMUST00000178595.1
ENSMUST00000178806.1	ENSMUST00000179004.1
ENSMUST00000178806.1	ENSMUST00000177926.2
ENSMUST00000178806.1	ENSMUST00000164729.2
ENSMUST00000170123.1	ENSMUST00000167430.7
ENSMUST00000158183.1	ENSMUST00000157265.1
ENSMUST00000186873.6	ENSMUST00000189530.1
ENSMUST00000100617.1	ENSMUST00000100598.1
ENSMUST00000142343.7	ENSMUST00000111161.8
ENSMUST00000097422.5	ENSMUST00000231559.1
ENSMUST00000232739.1	ENSMUST00000167713.1
ENSMUST00000238529.1	ENSMUST00000238299.1
ENSMUST00000155623.7	ENSMUST00000133557.1
ENSMUST00000180354.1	ENSMUST00000179270.1
ENSMUST00000165892.7	ENSMUST00000109012.3
ENSMUST00000190361.1	ENSMUST00000189997.1
ENSMUST00000190361.1	ENSMUST00000187962.1
ENSMUST00000188701.6	ENSMUST00000188697.1
ENSMUST00000224559.1	ENSMUST00000041353.6
ENSMUST00000194768.1	ENSMUST00000195449.1
ENSMUST00000194768.1	ENSMUST00000195548.1
ENSMUST00000194768.1	ENSMUST00000194325.1
ENSMUST00000194768.1	ENSMUST00000188446.1
ENSMUST00000194768.1	ENSMUST00000188835.1
ENSMUST00000103596.2	ENSMUST00000103622.2
ENSMUST00000239458.1	ENSMUST00000019232.9
ENSMUST00000187934.1	ENSMUST00000188836.1
ENSMUST00000082956.1	ENSMUST00000083100.1
ENSMUST00000188537.6	ENSMUST00000185292.1
ENSMUST00000188537.6	ENSMUST00000186753.6
ENSMUST00000188537.6	ENSMUST00000185669.6
ENSMUST00000188537.6	ENSMUST00000185455.6
ENSMUST00000188537.6	ENSMUST00000187457.1
ENSMUST00000188537.6	ENSMUST00000187225.1
ENSMUST00000188537.6	ENSMUST00000188889.1
ENSMUST00000188537.6	ENSMUST00000190629.1
ENSMUST00000188537.6	ENSMUST00000187027.1
ENSMUST00000188537.6	ENSMUST00000190344.1
ENSMUST00000188537.6	ENSMUST00000189401.1
ENSMUST00000188537.6	ENSMUST00000186241.1
ENSMUST00000180357.1	ENSMUST00000143110.1
ENSMUST00000157189.1	ENSMUST00000157086.1
ENSMUST00000174763.7	ENSMUST00000114416.1
ENSMUST00000178284.1	ENSMUST00000179591.1
ENSMUST00000178284.1	ENSMUST00000179856.1
ENSMUST00000193659.1	ENSMUST00000193343.1
ENSMUST00000193659.1	ENSMUST00000194766.1
ENSMUST00000193659.1	ENSMUST00000195459.1
ENSMUST00000095863.9	ENSMUST00000165657.2
ENSMUST00000194938.1	ENSMUST00000192163.1
ENSMUST00000220677.1	ENSMUST00000222418.1
ENSMUST00000103976.1	ENSMUST00000104108.1
ENSMUST00000078603.2	ENSMUST00000218837.1
ENSMUST00000186482.1	ENSMUST00000186741.1
ENSMUST00000177813.2	ENSMUST00000168753.2
ENSMUST00000182975.1	ENSMUST00000182673.1
ENSMUST00000186998.1	ENSMUST00000189188.1
ENSMUST00000190221.1	ENSMUST00000189485.1
ENSMUST00000187132.1	ENSMUST00000193593.5
ENSMUST00000192120.1	ENSMUST00000194389.1
ENSMUST00000179568.2	ENSMUST00000179314.2
ENSMUST00000179568.2	ENSMUST00000098667.4
ENSMUST00000199746.4	ENSMUST00000198913.4
ENSMUST00000093684.1	ENSMUST00000082761.1
ENSMUST00000093684.1	ENSMUST00000177653.1
ENSMUST00000093684.1	ENSMUST00000179675.1
ENSMUST00000093684.1	ENSMUST00000101973.1
ENSMUST00000093684.1	ENSMUST00000178333.1
ENSMUST00000093684.1	ENSMUST00000178469.1
ENSMUST00000179158.1	ENSMUST00000178480.2
ENSMUST00000179158.1	ENSMUST00000177771.2
ENSMUST00000179158.1	ENSMUST00000178602.2
ENSMUST00000189406.1	ENSMUST00000187778.1
ENSMUST00000189406.1	ENSMUST00000188723.1
ENSMUST00000195791.1	ENSMUST00000187139.1
ENSMUST00000195791.1	ENSMUST00000188099.1
ENSMUST00000189490.6	ENSMUST00000187819.6
ENSMUST00000195238.1	ENSMUST00000192395.1
ENSMUST00000195238.1	ENSMUST00000193737.1
ENSMUST00000195238.1	ENSMUST00000192893.1
ENSMUST00000195238.1	ENSMUST00000186653.1
ENSMUST00000195238.1	ENSMUST00000188683.1
ENSMUST00000195238.1	ENSMUST00000191534.1
ENSMUST00000195238.1	ENSMUST00000186091.1
ENSMUST00000195238.1	ENSMUST00000189231.1
ENSMUST00000195238.1	ENSMUST00000188452.1
ENSMUST00000198940.1	ENSMUST00000196874.1
ENSMUST00000233108.1	ENSMUST00000178179.1
ENSMUST00000179529.1	ENSMUST00000178608.1
ENSMUST00000179529.1	ENSMUST00000177724.1
ENSMUST00000105315.2	ENSMUST00000099439.3
ENSMUST00000189518.1	ENSMUST00000188744.1
ENSMUST00000083729.1	ENSMUST00000101994.2
ENSMUST00000186666.1	ENSMUST00000190161.1
ENSMUST00000113510.7	ENSMUST00000113511.7
ENSMUST00000109048.2	ENSMUST00000109018.2
ENSMUST00000109048.2	ENSMUST00000108997.9
ENSMUST00000188311.6	ENSMUST00000186847.1
ENSMUST00000191152.1	ENSMUST00000186793.1
ENSMUST00000184314.7	ENSMUST00000064846.7
ENSMUST00000178557.1	ENSMUST00000118829.1
ENSMUST00000098736.4	ENSMUST00000169730.1
ENSMUST00000180085.1	ENSMUST00000178792.1
ENSMUST00000180085.1	ENSMUST00000180236.1
ENSMUST00000178250.1	ENSMUST00000178073.1
ENSMUST00000195020.5	ENSMUST00000191665.5
ENSMUST00000184165.1	ENSMUST00000183906.1
ENSMUST00000179153.1	ENSMUST00000180289.1
ENSMUST00000179153.1	ENSMUST00000177770.1
ENSMUST00000186362.1	ENSMUST00000186637.1
ENSMUST00000179701.1	ENSMUST00000179997.1
ENSMUST00000162526.1	ENSMUST00000101162.3
ENSMUST00000218301.1	ENSMUST00000164660.7
ENSMUST00000190755.1	ENSMUST00000190786.1
ENSMUST00000190755.1	ENSMUST00000191560.1
ENSMUST00000190755.1	ENSMUST00000187826.1
ENSMUST00000190755.1	ENSMUST00000185833.1
ENSMUST00000190755.1	ENSMUST00000190209.1
ENSMUST00000183491.1	ENSMUST00000183523.1
ENSMUST00000191551.6	ENSMUST00000190183.6
ENSMUST00000083917.1	ENSMUST00000157972.1
ENSMUST00000195223.1	ENSMUST00000193859.1
ENSMUST00000186968.1	ENSMUST00000187635.1
ENSMUST00000186968.1	ENSMUST00000186399.1
