mgi_symbol,id,ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromosome_name,strand,start_position,end_position,gene_biotype,M351WT,M352Mdmx,M371Mdmx,M380Mdmx,M383WT,M396WT,neglog10_padj,n_samples_above0,is_surface,CSPA_category,UP_Protein_name,CD
Asah1,ENSMUSG00000031591.14,ENSMUSG00000031591,2153.913555,0.433051451,0.318749763,1.358593795,0.174275343,0.631345114,8,-1,41340197,41374773,protein_coding,2198.706879,2817.154286,2951.920473,1812.954044,1923.226526,1459.213348,0.199733176202156,6,TRUE,3 - unspecific,Acid ceramidase,no
Asah2,ENSMUSG00000024887.10,ENSMUSG00000024887,317.3028874,1.207348089,0.709575012,1.701508746,0.088847497,0.480477463,19,-1,31982597,32108211,protein_coding,208.8188128,667.3923152,218.9040505,494.3016282,299.3792573,84.41751699,0.318326978285307,6,TRUE,1 - high confidence,Neutral ceramidase,no
Atg9a,ENSMUSG00000033124.15,ENSMUSG00000033124,752.7755647,-0.80301925,0.401272326,-2.001182734,0.045372701,0.38340068,1,-1,75180860,75192196,protein_coding,768.9766406,730.6526371,462.388391,490.2849364,817.0506977,1336.582071,0.416347121191953,6,TRUE,2 - putative,Autophagy-related protein 9A,no
Atp13a3,ENSMUSG00000022533.14,ENSMUSG00000022533,2521.151115,-0.382291735,0.455365762,-0.839526743,0.401173789,0.825279796,16,-1,30312423,30405975,protein_coding,1416.366242,2614.394782,1500.084442,2533.116976,3847.020039,3351.923185,0.0833987868949159,6,TRUE,2 - putative,Probable cation-transporting ATPase 13A3,no
Atp1a1,ENSMUSG00000033161.10,ENSMUSG00000033161,552.7075894,-0.160323185,0.471522203,-0.340011953,0.733847526,0.951591272,3,-1,101576219,101604684,protein_coding,717.8027221,291.6437087,580.6773443,690.2265149,489.3290285,529.0228121,0.0215495499677068,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit alpha-1,no
Atp1a3,ENSMUSG00000040907.15,ENSMUSG00000040907,86.25210972,0.662459636,1.671887574,0.396234559,0.691931999,0.943331063,7,-1,24978167,25005958,protein_coding,0,122.6019283,153.4173821,35.3977598,50.18669365,145.9689334,0.0253358644191445,5,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit alpha-3,no
Atp1b1,ENSMUSG00000026576.12,ENSMUSG00000026576,198.4955916,-0.880874459,1.047890846,-0.840616617,0.400562746,0.825128699,1,-1,164437109,164458355,protein_coding,533.0784063,203.5832264,181.0149202,51.34554005,37.5541896,227.3394,0.0834783073211792,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-1,no
Atp1b2,ENSMUSG00000041329.13,ENSMUSG00000041329,6602.209902,-1.382857176,0.576141132,-2.400205608,0.016385865,0.239511817,11,-1,69599736,69605942,protein_coding,8352.373459,1996.522639,1609.160353,7246.700855,11641.45508,8122.238057,0.620673054561367,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-2,no
Atp1b3,ENSMUSG00000032412.8,ENSMUSG00000032412,5861.158953,0.010272678,0.185587633,0.05535217,0.9558579,0.992370467,9,-1,96332655,96364442,protein_coding,5088.593524,6202.866705,5486.529423,6078.835505,5744.602836,6708.799481,0.00332616883532193,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-3,CD298
Atp2a3,ENSMUSG00000020788.15,ENSMUSG00000020788,1998.926788,-0.01406889,0.362909677,-0.038766919,0.96907622,0.994422677,11,1,72961169,72993044,protein_coding,2536.716715,1612.71514,2207.783231,2131.341818,1224.651925,2215.161544,0.00242898052120672,6,TRUE,2 - putative,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,no
Atp5h,ENSMUSG00000034566.10,ENSMUSG00000034566,11946.23926,-0.093770254,0.150896107,-0.621422618,0.534321594,0.89297658,11,-1,115415689,115419962,protein_coding,11585.66349,11063.7015,11186.3962,12371.73154,11646.80426,13503.69584,0.0491599311564079,6,TRUE,3 - unspecific,"ATP synthase subunit d, mitochondrial",no
Atp6ap1,ENSMUSG00000019087.13,ENSMUSG00000019087,6893.980212,-0.419479904,0.331340925,-1.26600692,0.205510605,0.666622959,X,1,74297097,74304721,protein_coding,8154.817525,6934.165833,3426.249769,7112.773156,7028.17754,8040.540353,0.176119732986764,6,TRUE,1 - high confidence,V-type proton ATPase subunit S1,no
Atp6v0a2,ENSMUSG00000038023.12,ENSMUSG00000038023,1687.853933,-0.788872343,0.374813975,-2.104703655,0.035317112,0.341445198,5,1,124628576,124724455,protein_coding,2572.327103,1001.355772,2045.720736,1066.825058,2117.896228,2379.924146,0.46667899071177,6,TRUE,1 - high confidence,V-type proton ATPase 116 kDa subunit a isoform 2,no
Atp6v1a,ENSMUSG00000052459.13,ENSMUSG00000052459,3117.949016,-0.013725438,0.246609452,-0.055656576,0.955615394,0.992370467,16,-1,44085402,44139705,protein_coding,2834.707884,2507.214832,3797.651563,2965.382011,3410.02353,3060.514435,0.00332616883532193,6,TRUE,3 - unspecific,V-type proton ATPase catalytic subunit A,no
Atrn,ENSMUSG00000027312.14,ENSMUSG00000027312,986.0319855,-0.495528557,0.373137552,-1.328005059,0.184176436,0.644982954,2,1,130906495,131030333,protein_coding,1273.69428,909.2724867,732.0806516,502.4052557,856.9604762,873.2585478,0.190451763010566,6,TRUE,1 - high confidence,Attractin,no
Axl,ENSMUSG00000002602.16,ENSMUSG00000002602,489.8961523,-0.817036221,0.622230211,-1.313077068,0.18915698,0.648534087,7,-1,25757273,25788705,protein_coding,1083.555085,621.617172,253.8660405,269.6227672,422.2342493,488.7575749,0.188067192429626,6,TRUE,1 - high confidence,Tyrosine-protein kinase receptor UFO,no
B3galnt1,ENSMUSG00000043300.2,ENSMUSG00000043300,171.7143756,0.801224382,1.608556059,0.498101622,0.618412417,0.921141935,3,-1,69574158,69598960,protein_coding,281.5369675,290.3582537,228.5933716,136.5873092,91.43388982,0,0.0356734459833957,5,TRUE,2 - putative,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",no
B3galt1,ENSMUSG00000034780.6,ENSMUSG00000034780,530.9654281,1.874320603,0.486268743,3.854495338,0.000115969,0.013099812,2,1,67565871,68122689,protein_coding,264.3721602,1026.51246,923.630492,568.0469453,283.8984092,134.4423032,1.88273493701206,6,TRUE,3 - unspecific,"Beta-1,3-galactosyltransferase 1",no
B3galt6,ENSMUSG00000050796.4,ENSMUSG00000050796,786.2092033,0.044552335,0.358729241,0.12419488,0.901160976,0.98670224,4,-1,155989466,155992649,protein_coding,977.3516958,811.3943843,646.7252138,939.5176114,567.7434899,765.9012692,0.00581388586625975,6,TRUE,3 - unspecific,"Beta-1,3-galactosyltransferase 6",no
B3gat3,ENSMUSG00000071649.6,ENSMUSG00000071649,653.2245558,-0.045034445,0.428595687,-0.105074425,0.916316753,0.988607772,19,1,8920374,8927236,protein_coding,603.5666286,391.4756613,916.4438692,641.6237438,705.695113,691.4199458,0.00497597962939372,6,TRUE,3 - unspecific,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,no
B3gnt2,ENSMUSG00000051650.11,ENSMUSG00000051650,687.5712784,-0.443908634,0.759267584,-0.584653741,0.558780564,0.900477239,11,-1,22759738,22860961,protein_coding,1488.4654,912.7995984,612.0930969,259.9090041,665.8320656,255.1766956,0.0455272601921778,6,TRUE,2 - putative,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",no
B4galnt1,ENSMUSG00000006731.10,ENSMUSG00000006731,1427.036469,-0.35352711,0.608331551,-0.581142157,0.561144648,0.901316135,10,1,127165225,127172330,protein_coding,1580.40616,671.3579745,578.8914779,2499.200321,1476.929703,1703.889816,0.0451228542982795,6,TRUE,3 - unspecific,"Beta-1,4 N-acetylgalactosaminyltransferase 1",no
B4galt3,ENSMUSG00000052423.14,ENSMUSG00000052423,934.3736797,-0.477385559,0.330360725,-1.445043324,0.148445717,0.590502709,1,1,171270328,171276896,protein_coding,1043.385438,1065.694359,663.6760315,887.1166328,1466.358794,1118.507595,0.228778105669344,6,TRUE,3 - unspecific,"Beta-1,4-galactosyltransferase 3",no
Bcam,ENSMUSG00000002980.14,ENSMUSG00000002980,88.88150458,-0.098592872,1.490862627,-0.066131427,0.947273191,0.991659699,7,-1,19756131,19771016,protein_coding,101.9748294,218.9330443,41.6337261,0.938925518,76.83649135,99.33421956,0.00363733611373193,6,TRUE,1 - high confidence,Basal cell adhesion molecule,no
Bgn,ENSMUSG00000031375.17,ENSMUSG00000031375,414.2984977,0.660871079,0.515779177,1.281306242,0.200086121,0.661335263,X,1,73483602,73495933,protein_coding,451.6181855,531.1273658,386.8812665,683.5530888,365.213363,189.9856735,0.179578319700349,6,TRUE,1 - high confidence,Biglycan,no
Bmp1,ENSMUSG00000022098.10,ENSMUSG00000022098,851.4232577,-0.482620001,0.45905389,-1.051336263,0.293104178,0.755667733,14,-1,70474558,70520234,protein_coding,857.0552233,486.6438281,1148.655265,545.2969507,1195.548414,977.9126809,0.12166912175368,6,TRUE,1 - high confidence,Bone morphogenetic protein 1,no
Bmpr2,ENSMUSG00000067336.6,ENSMUSG00000067336,2171.371321,1.212085285,0.415931323,2.914147647,0.003566612,0.114212155,1,1,59763400,59879014,protein_coding,1379.711346,3178.687262,4191.702633,1588.264823,1411.345887,1052.595638,0.942287673949037,6,TRUE,1 - high confidence,Bone morphogenetic protein receptor type-2,no
Boc,ENSMUSG00000022687.12,ENSMUSG00000022687,71.16307981,-0.490063278,1.790624142,-0.273682939,0.78432829,0.962206591,16,-1,44485049,44558897,protein_coding,72.49875353,158.2084849,19.81333784,0,40.72858544,135.404074,0.0167316725580373,5,TRUE,1 - high confidence,Brother of CDO,no
Bscl2,ENSMUSG00000071657.12,ENSMUSG00000071657,3240.712966,-0.225163384,0.257217107,-0.875382619,0.381365754,0.813180979,19,1,8837467,8848683,protein_coding,3873.985319,3229.181575,2336.735722,3339.217618,2839.886072,3633.289874,0.0898127884353174,6,TRUE,2 - putative,Seipin,no
Bsg,ENSMUSG00000023175.15,ENSMUSG00000023175,27609.62632,-0.323980412,0.229730815,-1.410261014,0.158462626,0.607668543,10,1,79704491,79711969,protein_coding,27560.50582,22099.30359,20449.76262,30955.62002,33307.59634,30593.91172,0.216333245066406,6,TRUE,1 - high confidence,Basigin,CD147
Bst1,ENSMUSG00000029082.17,ENSMUSG00000029082,9.982669765,5.972825813,3.771903449,1.583504428,0.113306538,0.52923861,5,1,43818885,43843986,protein_coding,0,68.93957257,0,0.82070282,0,0.69509935,0.276348479869491,3,TRUE,1 - high confidence,ADP-ribosyl cyclase 2,CD157
Bst2,ENSMUSG00000046718.8,ENSMUSG00000046718,2777.318254,-0.055746823,0.404385595,-0.137855611,0.890354533,0.984888302,8,-1,71534255,71537456,protein_coding,3617.456323,3128.078943,2992.992592,2057.820864,1528.96058,3306.800819,0.00661302084830709,6,TRUE,1 - high confidence,Bone marrow stromal antigen 2,CD317
Btd,ENSMUSG00000021900.10,ENSMUSG00000021900,529.2073879,-1.201856252,1.194413121,-1.006231622,0.314304164,0.770017092,14,1,31641028,31668579,protein_coding,1366.830427,13.67883384,125.2814999,837.5022987,383.023792,479.6165705,0.11349963472505,6,TRUE,1 - high confidence,Biotinidase,no
Btla,ENSMUSG00000052013.15,ENSMUSG00000052013,233.6871545,2.947100064,2.452088009,1.20187369,0.229412469,0.695583361,16,1,45224315,45257670,protein_coding,149.970004,0,1059.605855,119.3744062,1.811529633,0,0.15765081527242,4,TRUE,1 - high confidence,B- and T-lymphocyte attenuator,CD727
C1qa,ENSMUSG00000036887.5,ENSMUSG00000036887,76.25487199,-2.404144598,1.16426346,-2.06494894,0.038927832,0.356884597,4,-1,136895917,136898803,protein_coding,114.9357751,19.6281132,45.43229657,7.706744493,27.44782862,241.2055706,0.447472195620298,6,TRUE,1 - high confidence,Complement C1q subcomponent subunit A,no
Cables2,ENSMUSG00000038990.14,ENSMUSG00000038990,484.3791263,0.137665959,0.546676795,0.251823308,0.801177641,0.965405049,2,-1,180258540,180273496,protein_coding,319.764616,271.2724131,507.2969373,710.5686899,383.6510532,643.5666325,0.01529043418202,6,TRUE,3 - unspecific,CDK5 and ABL1 enzyme substrate 2,no
Cachd1,ENSMUSG00000028532.14,ENSMUSG00000028532,524.3029823,-0.88283514,1.000715677,-0.882203767,0.377666625,0.811429864,4,1,100776675,101029220,protein_coding,324.7830761,604.5551934,22.75694015,387.1063055,607.0051631,927.618147,0.0907490124910298,6,TRUE,1 - high confidence,VWFA and cache domain-containing protein 1,no
Cacna1c,ENSMUSG00000051331.15,ENSMUSG00000051331,33.54870686,-2.667644291,1.714992867,-1.555484191,0.119830797,0.541208534,6,-1,118587240,119196418,protein_coding,55.35743285,0.2549964,20.27662538,5.705545135,102.8061258,8.449774713,0.266635363885414,6,TRUE,1 - high confidence,Voltage-dependent L-type calcium channel subunit alpha-1C,no
Cacna1s,ENSMUSG00000026407.17,ENSMUSG00000026407,320.8887233,-1.012206124,1.668188171,-0.606769753,0.544003724,0.894947289,1,1,136052750,136119822,protein_coding,1045.231803,133.4289924,151.9039693,355.5292895,235.4845163,0,0.0482025431986989,5,TRUE,2 - putative,Voltage-dependent L-type calcium channel subunit alpha-1S,no
Cacng8,ENSMUSG00000053395.15,ENSMUSG00000053395,16.73114969,0.996133168,3.506511,0.284081005,0.776348304,0.961325301,7,1,3390683,3415648,protein_coding,0,47.6147911,0,19.8106173,33.57196185,0,0.0171296273955204,3,TRUE,1 - high confidence,Voltage-dependent calcium channel gamma-8 subunit,no
Cadm1,ENSMUSG00000032076.19,ENSMUSG00000032076,319.8910742,0.812188141,1.178373026,0.689245361,0.490668876,0.875495578,9,1,47530173,47857637,protein_coding,234.9421701,838.6777672,220.6892271,29.16397284,336.9031202,42.7695219,0.0577460431328468,6,TRUE,1 - high confidence,Cell adhesion molecule 1,no
Cadm4,ENSMUSG00000054793.8,ENSMUSG00000054793,18.87276984,-3.943581553,1.719249927,-2.293780264,0.021803124,0.277601538,7,1,24482023,24504539,protein_coding,18.77092305,0,1.599281532,3.847568315,55.64793608,12.33972038,0.55657813208223,5,TRUE,1 - high confidence,Cell adhesion molecule 4,no
Calcrl,ENSMUSG00000059588.13,ENSMUSG00000059588,3664.058369,1.755120597,0.505655033,3.470984137,0.000518555,0.038946763,2,-1,84330626,84425411,protein_coding,1943.12474,5555.797844,9028.907797,2184.343867,1411.380177,1585.585359,1.40952863220598,6,TRUE,1 - high confidence,Calcitonin gene-related peptide type 1 receptor,no
Calhm2,ENSMUSG00000033033.10,ENSMUSG00000033033,326.7019275,0.572208612,0.71628658,0.798854296,0.424374903,0.836539195,19,-1,47105353,47138294,protein_coding,131.6921361,420.6107701,529.464434,223.1242799,163.2284266,490.8605637,0.0775137058989141,6,TRUE,2 - putative,Calcium homeostasis modulator protein 2,no
